ad_id,creator,title,price,description,post_date,last_edited,img_url,category_id,region_id,status
850,kcollins6w,leo maecenas pulvinar pc lobortis est phasellus,53.78,Praesent id massa id nisl venenatis lacinia.,2014-11-23 09:52:24,,http://s6.amazonaws.com/VhiFwQkBI,482,219,expired
932,jhenderson7s,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit,232.79,Praesent id massa id nisl venenatis lacinia.,2014-12-30 03:36:51,,,509,478,expired
450,bbishop71,dapibus duis at velit eu est,94.53,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",2014-09-20 01:54:23,2014-09-20 01:54:26,,465,411,expired
637,rray2n,eu tincidunt in leo maecenas pulvinar lobortis est,253.57,Curabitur convallis.,2014-10-07 09:07:44,,http://s5.amazonaws.com/minzjlHpCBNRoJ,250,420,expired
418,jhenderson7s,vel sem sed sagittis nam congue risus semper,256.17,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",2014-09-04 16:02:03,,http://s3.amazonaws.com/lobhxyEdPaN,243,151,expired
2037,amoore1p,macbook vestibulum velit id pretium iaculis diam erat fermentum justo nec,59.78,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",2015-08-31 13:27:28,,http://s6.amazonaws.com/IhRzAcHQm,334,17,active
1378,gcook2x,in sagittis dui vel nisl,95.74,In congue.,2015-03-15 01:40:45,,http://s1.amazonaws.com/NfvwoecLaQzY,63,96,deleted
1100,lruiz2y,quam pharetra magna ac,204.51,Phasellus sit amet erat.,2015-01-11 19:58:42,,http://s3.amazonaws.com/gTwenDMu,250,367,active
1608,chernandez5i,tellus in sagittis dui vel nisl,460.83,Praesent blandit.,2015-05-10 08:56:34,,http://s3.amazonaws.com/rKSONtZbwJv,250,298,active
1304,aadams29,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper,9.9,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,2015-02-26 00:00:17,2015-02-26 00:00:21,,250,67,active
1585,cwarren3c,amet consectetuer adipiscing elit proin,397.37,Duis ac nibh.,2015-03-30 00:34:01,,,120,478,active
1504,lhartj,integer ac leo pellentesque ultrices mattis odio donec vitae,48.76,Duis mattis egestas metus.,2015-03-26 23:11:27,2015-03-26 23:11:29,,170,299,active
